createdAt,status,restaurantName,pickupDeadline,driverArrivedAtRestaurantAt,pickedAt
2021-01-23 17:54:29.543,complete,GoodFood Basel,2021-01-23 18:27:00.000,2021-01-23 18:15:16.947,2021-01-23 18:15:19.003
2021-01-23 17:58:27.187,complete,GoodFood Genève,2021-01-23 18:27:00.000,2021-01-23 18:02:51.259,2021-01-23 18:06:01.986
2021-01-23 18:02:41.379,error_payment,GoodFood Lausanne,2021-01-23 19:10:00.000,,
2021-01-23 18:05:50.212,complete,GoodFood Basel,2021-01-23 18:34:00.000,2021-01-23 18:17:02.797,2021-01-23 18:17:04.540
2021-01-23 18:11:21.658,complete,GoodFood Lausanne,2021-01-23 18:41:00.000,2021-01-23 18:23:04.546,2021-01-23 18:24:20.452
2021-01-23 18:14:19.469,complete,Pizza Princess Lausanne,2021-01-23 18:41:00.000,2021-01-23 18:42:39.054,2021-01-23 18:44:38.481
2021-01-23 18:18:13.248,complete,GoodFood Basel,2021-01-23 18:43:00.000,2021-01-23 18:24:58.154,2021-01-23 18:30:05.360
2021-01-23 18:18:31.172,complete,GoodFood Basel 2,2021-01-23 19:10:00.000,2021-01-23 19:09:10.275,2021-01-23 19:18:20.721
2021-01-23 18:27:18.245,complete,Pizza Princess Basel,2021-01-23 18:57:00.000,2021-01-23 18:57:25.766,2021-01-23 19:03:45.530
2021-01-23 18:29:35.979,complete,Maria - Rive Gauche,2021-01-23 18:49:00.000,2021-01-23 18:39:33.036,2021-01-23 19:00:04.818
2021-01-23 18:30:08.085,complete,Maria,2021-01-23 18:52:00.000,2021-01-23 18:38:53.606,2021-01-23 18:45:47.402
2021-01-23 18:32:48.579,complete,Red Pat - Craft Burgers & Beer,2021-01-23 19:07:00.000,2021-01-23 19:05:42.101,2021-01-23 19:08:37.887
2021-01-23 18:35:53.752,error_payment,GoodFood Basel,2021-01-23 18:55:00.000,,
2021-01-23 18:38:56.758,error_payment,GoodFood Genève,2021-01-23 19:11:00.000,,
2021-01-23 18:47:37.302,complete,GoodFood Lausanne,2021-01-23 19:09:00.000,2021-01-23 19:09:49.042,2021-01-23 19:14:08.840
2021-01-23 18:47:41.526,complete,Maria,2021-01-23 19:13:00.000,2021-01-23 19:02:42.665,2021-01-23 19:03:34.529
2021-01-23 18:48:24.231,error_payment,GoodFood Lausanne,2021-01-23 19:28:00.000,,
2021-01-23 18:48:50.645,complete,Red Pat - Craft Burgers & Beer,2021-01-23 19:13:00.000,2021-01-23 19:09:34.650,2021-01-23 19:13:07.315
2021-01-23 18:50:13.750,complete,GoodFood Basel,2021-01-23 19:12:00.000,2021-01-23 19:15:08.771,2021-01-23 19:15:13.176
2021-01-23 18:50:22.636,error_payment,GoodFood Genève,2021-01-23 19:21:00.000,,
2021-01-23 18:51:33.581,complete,GoodFood Basel 2,2021-01-23 19:22:00.000,2021-01-23 19:16:36.378,2021-01-23 19:20:42.198
2021-01-23 18:55:25.361,complete,GoodFood Lausanne,2021-01-23 19:25:00.000,2021-01-23 19:08:04.897,2021-01-23 19:14:59.539
2021-01-23 18:59:26.436,error_payment,GoodFood Lausanne,2021-01-23 19:24:00.000,,
2021-01-23 18:59:51.290,complete,GoodFood Basel 2,2021-01-23 19:25:00.000,2021-01-23 19:16:19.093,2021-01-23 19:40:58.080
2021-01-23 19:00:54.985,error_payment,Red Pat - Craft Burgers & Beer,2021-01-23 19:26:00.000,,
2021-01-23 19:01:25.665,complete,GoodFood Lausanne,2021-01-23 19:26:00.000,2021-01-23 19:15:13.147,2021-01-23 19:21:36.850
2021-01-23 19:03:43.319,complete,GoodFood Basel 2,2021-01-23 19:25:00.000,2021-01-23 19:24:57.750,2021-01-23 19:26:49.929
2021-01-23 19:05:13.727,complete,Maria,2021-01-23 19:37:00.000,2021-01-23 19:44:34.728,2021-01-23 19:49:24.367
2021-01-23 19:06:26.510,complete,GoodFood Basel 2,2021-01-23 19:39:00.000,2021-01-23 19:23:39.640,2021-01-23 19:35:59.411
2021-01-23 19:09:16.914,complete,GoodFood Basel,2021-01-23 19:37:00.000,2021-01-23 19:28:15.088,2021-01-23 19:31:28.126
2021-01-23 19:10:04.368,complete,Maria - Rive Gauche,2021-01-23 19:56:00.000,2021-01-23 19:56:12.560,2021-01-23 19:57:45.324
2021-01-23 19:10:47.859,complete,GoodFood Genève,2021-01-23 19:41:00.000,2021-01-23 19:20:09.105,2021-01-23 19:21:06.725
2021-01-23 19:12:05.531,complete,Red Pat - Craft Burgers & Beer,2021-01-23 19:41:00.000,2021-01-23 19:30:16.157,2021-01-23 19:36:30.097
2021-01-23 19:12:14.617,complete,GoodFood Genève,2021-01-23 19:43:00.000,2021-01-23 19:44:58.092,2021-01-23 19:44:58.833
2021-01-23 19:15:48.943,complete,GoodFood Basel 2,2021-01-23 19:43:00.000,2021-01-23 19:41:15.345,2021-01-23 19:49:37.327
2021-01-23 19:28:15.699,complete,GoodFood Genève,2021-01-23 19:56:00.000,2021-01-23 19:44:15.895,2021-01-23 19:57:31.131
2021-01-23 19:30:16.170,complete,GoodFood Lausanne,2021-01-23 19:55:00.000,2021-01-23 19:51:27.424,2021-01-23 19:51:27.746
2021-01-23 19:30:59.487,complete,Red Pat - Craft Burgers & Beer,2021-01-23 20:22:00.000,2021-01-23 20:06:04.423,2021-01-23 20:07:23.831
2021-01-23 19:37:10.960,error_payment,GoodFood Lausanne,2021-01-23 19:58:00.000,,
2021-01-23 19:38:53.195,complete,Pizza Princess Neuchâtel,2021-01-23 20:00:00.000,2021-01-23 19:58:08.186,2021-01-23 20:04:43.222
2021-01-23 19:38:57.188,complete,Maria,2021-01-23 19:58:00.000,2021-01-23 19:59:15.370,2021-01-23 20:00:35.104
2021-01-23 19:42:13.125,complete,GoodFood Basel,2021-01-23 20:08:00.000,2021-01-23 20:03:18.152,2021-01-23 20:03:19.340
2021-01-23 19:45:17.759,complete,GoodFood Lausanne,2021-01-23 20:11:00.000,2021-01-23 20:15:52.899,2021-01-23 20:20:45.226
2021-01-23 19:53:53.862,complete,GoodFood Genève,2021-01-23 20:13:00.000,2021-01-23 19:59:30.650,2021-01-23 20:11:29.208
2021-01-23 19:54:03.993,error_payment,Red Pat - Craft Burgers & Beer,2021-01-23 20:26:00.000,,
